"OBJECTID","DISCOVERY_DOY","FIRE_YEAR","FIRE_DATE","SEASON","STAT_CAUSE","STAT_CAUSE_DESCR","STATE","FIRE_SIZE"
1653928,243,2013,2013-08-31,"Summer","Missing/Undefined","Missing/Undefined","CA",0.08
321608,211,2009,2009-07-30,"Summer","Lightning","Lightning","CA",0.3
1481092,253,2011,2011-09-10,"Summer","Debris Burning","Debris Burning","CA",1
1137635,316,1992,1992-11-11,"Fall","Miscellaneous","Miscellaneous","CA",2
1572591,91,2012,2012-03-31,"Spring","Missing/Undefined","Missing/Undefined","CA",5
1143097,168,2003,2003-06-17,"Spring","Equipment Use","Equipment Use","CA",0.1
28496,180,2008,2008-06-28,"Summer","Lightning","Lightning","CA",7
216911,90,1998,1998-03-31,"Spring","Campfire/Children/Smoking/Fireworks","Campfire","CA",0.1
1181927,277,2010,2010-10-04,"Fall","Lightning","Lightning","CA",0.5
309791,148,2001,2001-05-28,"Spring","Miscellaneous","Miscellaneous","CA",0.1
1653247,124,2013,2013-05-04,"Spring","Missing/Undefined","Missing/Undefined","CA",2.8
1876738,312,2010,2010-11-08,"Fall","Miscellaneous","Miscellaneous","CA",0.1
58266,250,1993,1993-09-07,"Summer","Campfire/Children/Smoking/Fireworks","Children","CA",0.1
70614,267,1994,1994-09-24,"Fall","Lightning","Lightning","CA",0.2
1625869,65,2012,2012-03-05,"Winter","Missing/Undefined","Missing/Undefined","CA",0.1
321212,224,2007,2007-08-12,"Summer","Miscellaneous","Miscellaneous","CA",1
1726038,200,2014,2014-07-19,"Summer","Lightning","Lightning","CA",0.1
1797296,170,2015,2015-06-19,"Spring","Missing/Undefined","Missing/Undefined","CA",2.5
1115566,265,2007,2007-09-22,"Summer","Arson","Arson","CA",0.1
218850,307,1999,1999-11-03,"Fall","Miscellaneous","Miscellaneous","CA",0.1
1730314,186,2014,2014-07-05,"Summer","Campfire/Children/Smoking/Fireworks","Campfire","CA",0.1
313274,128,2007,2007-05-08,"Spring","Campfire/Children/Smoking/Fireworks","Children","CA",1
1880443,87,2015,2015-03-28,"Spring","Miscellaneous","Miscellaneous","CA",1
17709,287,2006,2006-10-14,"Fall","Lightning","Lightning","CA",0.1
321106,189,2007,2007-07-08,"Summer","Miscellaneous","Miscellaneous","CA",1
1644445,235,2013,2013-08-23,"Summer","Arson","Arson","CA",0.3
1105596,261,1999,1999-09-18,"Summer","Arson","Arson","CA",10
1457158,115,2011,2011-04-25,"Spring","Equipment Use","Equipment Use","CA",0.1
1124630,262,1997,1997-09-19,"Summer","Equipment Use","Equipment Use","CA",0.5
1653303,12,2013,2013-01-12,"Winter","Miscellaneous","Miscellaneous","CA",0.1
1181653,281,2010,2010-10-08,"Fall","Lightning","Lightning","CA",115
282989,185,2007,2007-07-04,"Summer","Arson","Arson","CA",0.3
1084369,168,2007,2007-06-17,"Spring","Campfire/Children/Smoking/Fireworks","Children","CA",1
215863,143,1993,1993-05-23,"Spring","Equipment Use","Equipment Use","CA",5
1077168,228,2007,2007-08-16,"Summer","Arson","Arson","CA",1
1091552,195,2003,2003-07-14,"Summer","Equipment Use","Equipment Use","CA",0.1
1092039,236,1992,1992-08-23,"Summer","Miscellaneous","Miscellaneous","CA",0.2
1872492,213,2010,2010-08-01,"Summer","Missing/Undefined","Missing/Undefined","CA",1
1824206,105,2015,2015-04-15,"Spring","Debris Burning","Debris Burning","CA",0.01
1137250,201,1992,1992-07-19,"Summer","Miscellaneous","Miscellaneous","CA",0.5
1067093,267,2006,2006-09-24,"Fall","Equipment Use","Equipment Use","CA",1
1130624,121,1995,1995-05-01,"Spring","Miscellaneous","Miscellaneous","CA",0.1
1135328,208,2007,2007-07-27,"Summer","Miscellaneous","Miscellaneous","CA",1
138975,190,2001,2001-07-09,"Summer","Lightning","Lightning","CA",0.1
283840,262,2005,2005-09-19,"Summer","Arson","Arson","CA",0.1
2145,245,2005,2005-09-02,"Summer","Arson","Arson","CA",20
1072821,210,1996,1996-07-28,"Summer","Equipment Use","Equipment Use","CA",250
1075563,142,2004,2004-05-21,"Spring","Miscellaneous","Miscellaneous","CA",1
311089,228,2003,2003-08-16,"Summer","Arson","Arson","CA",1
1874635,173,2010,2010-06-22,"Summer","Equipment Use","Equipment Use","CA",2.5
170289,170,2004,2004-06-18,"Spring","Miscellaneous","Miscellaneous","CA",0.1
1878270,235,2010,2010-08-23,"Summer","Equipment Use","Equipment Use","CA",1
1180577,248,2010,2010-09-05,"Summer","Campfire/Children/Smoking/Fireworks","Smoking","CA",0.1
23210,196,2007,2007-07-15,"Summer","Equipment Use","Equipment Use","CA",20
365847,275,2002,2002-10-02,"Fall","Miscellaneous","Miscellaneous","CA",1
283964,181,2003,2003-06-30,"Summer","Lightning","Lightning","CA",5
1644389,209,2013,2013-07-28,"Summer","Equipment Use","Equipment Use","CA",12
151342,230,2002,2002-08-18,"Summer","Miscellaneous","Miscellaneous","CA",0.1
11842,206,2006,2006-07-25,"Summer","Lightning","Lightning","CA",0.1
1213893,223,2010,2010-08-11,"Summer","Lightning","Lightning","CA",0.3
1567450,245,2012,2012-09-01,"Summer","Equipment Use","Equipment Use","CA",0.5
1132207,275,1999,1999-10-02,"Fall","Miscellaneous","Miscellaneous","CA",135
1071212,163,2010,2010-06-12,"Spring","Miscellaneous","Miscellaneous","CA",5
1725715,155,2014,2014-06-04,"Spring","Lightning","Lightning","CA",0.1
282570,198,2005,2005-07-17,"Summer","Arson","Arson","CA",0.5
1113729,270,2007,2007-09-27,"Fall","Miscellaneous","Miscellaneous","CA",1
1105827,133,2005,2005-05-13,"Spring","Equipment Use","Equipment Use","CA",0.2
1118271,226,2004,2004-08-13,"Summer","Miscellaneous","Miscellaneous","CA",4
1106935,236,2007,2007-08-24,"Summer","Miscellaneous","Miscellaneous","CA",0.3
1123090,199,1998,1998-07-18,"Summer","Miscellaneous","Miscellaneous","CA",3
371825,76,2007,2007-03-17,"Winter","Miscellaneous","Miscellaneous","CA",0.1
1122936,168,2008,2008-06-16,"Spring","Miscellaneous","Miscellaneous","CA",0.4
1614886,221,2012,2012-08-08,"Summer","Campfire/Children/Smoking/Fireworks","Smoking","CA",1
1742221,137,2014,2014-05-17,"Spring","Equipment Use","Equipment Use","CA",1
152145,287,2002,2002-10-14,"Fall","Miscellaneous","Miscellaneous","CA",0.1
1568583,236,2012,2012-08-23,"Summer","Lightning","Lightning","CA",0.1
57411,232,1993,1993-08-20,"Summer","Lightning","Lightning","CA",0.1
1874658,1,2012,2012-01-01,"Winter","Campfire/Children/Smoking/Fireworks","Children","CA",0.21
1787475,165,2014,2014-06-14,"Spring","Missing/Undefined","Missing/Undefined","CA",4
317935,222,2008,2008-08-09,"Summer","Equipment Use","Equipment Use","CA",0.1
1655285,259,2013,2013-09-16,"Summer","Miscellaneous","Miscellaneous","CA",0.1
1770635,184,2014,2014-07-03,"Summer","Arson","Arson","CA",1
19684,191,2007,2007-07-10,"Summer","Lightning","Lightning","CA",0.1
1062884,255,2004,2004-09-11,"Summer","Arson","Arson","CA",0.25
1213838,284,2010,2010-10-11,"Fall","Arson","Arson","CA",0.1
1144414,173,1995,1995-06-22,"Summer","Equipment Use","Equipment Use","CA",0.3
1725700,211,2014,2014-07-30,"Summer","Lightning","Lightning","CA",0.1
1876231,233,2010,2010-08-21,"Summer","Miscellaneous","Miscellaneous","CA",0.25
1122925,147,2008,2008-05-26,"Spring","Miscellaneous","Miscellaneous","CA",0.1
46969,206,1992,1992-07-24,"Summer","Campfire/Children/Smoking/Fireworks","Smoking","CA",0.1
1067601,231,1992,1992-08-18,"Summer","Equipment Use","Equipment Use","CA",1
1653768,172,2013,2013-06-21,"Summer","Miscellaneous","Miscellaneous","CA",0.1
1095792,218,1994,1994-08-06,"Summer","Equipment Use","Equipment Use","CA",0.5
1122758,222,1995,1995-08-10,"Summer","Powerline/Railroad/Structure","Railroad","CA",0.1
1101783,158,2004,2004-06-06,"Spring","Equipment Use","Equipment Use","CA",2
1114937,309,2006,2006-11-05,"Fall","Debris Burning","Debris Burning","CA",0.3
1067061,262,2005,2005-09-19,"Summer","Equipment Use","Equipment Use","CA",0.1
1870335,182,2015,2015-07-01,"Summer","Lightning","Lightning","CA",0.1
1089720,240,1994,1994-08-28,"Summer","Arson","Arson","CA",1
1076428,192,2006,2006-07-11,"Summer","Miscellaneous","Miscellaneous","CA",0.1
1088346,296,2006,2006-10-23,"Fall","Arson","Arson","CA",0.5
1089327,194,1993,1993-07-13,"Summer","Miscellaneous","Miscellaneous","CA",0.1
1118361,142,2008,2008-05-21,"Spring","Miscellaneous","Miscellaneous","CA",1
1872515,227,2010,2010-08-15,"Summer","Missing/Undefined","Missing/Undefined","CA",1
1872949,260,2009,2009-09-17,"Summer","Campfire/Children/Smoking/Fireworks","Children","CA",0.01
1457799,257,2011,2011-09-14,"Summer","Lightning","Lightning","CA",0.1
1090398,94,1997,1997-04-04,"Spring","Equipment Use","Equipment Use","CA",0.1
1105587,339,2006,2006-12-05,"Fall","Equipment Use","Equipment Use","CA",1
1510718,153,2011,2011-06-02,"Spring","Equipment Use","Equipment Use","CA",0.01
1874233,233,2015,2015-08-21,"Summer","Missing/Undefined","Missing/Undefined","CA",2
41172,223,2009,2009-08-11,"Summer","Miscellaneous","Miscellaneous","CA",0.25
1111844,313,1996,1996-11-08,"Fall","Equipment Use","Equipment Use","CA",0.2
93951,225,1996,1996-08-12,"Summer","Lightning","Lightning","CA",0.2
314820,64,2002,2002-03-05,"Winter","Equipment Use","Equipment Use","CA",0.3
111586,206,1998,1998-07-25,"Summer","Lightning","Lightning","CA",10
1141920,244,1998,1998-09-01,"Summer","Miscellaneous","Miscellaneous","CA",1
1082619,180,1998,1998-06-29,"Summer","Equipment Use","Equipment Use","CA",5
1456765,247,2011,2011-09-04,"Summer","Lightning","Lightning","CA",0.7
1466670,255,2011,2011-09-12,"Summer","Equipment Use","Equipment Use","CA",0.5
1066435,264,2001,2001-09-21,"Summer","Arson","Arson","CA",0.3
1105333,296,2007,2007-10-23,"Fall","Arson","Arson","CA",5
57126,235,1993,1993-08-23,"Summer","Equipment Use","Equipment Use","CA",0.1
1464221,132,2011,2011-05-12,"Spring","Arson","Arson","CA",3
1788345,260,2014,2014-09-17,"Summer","Missing/Undefined","Missing/Undefined","CA",0.05
162139,240,2003,2003-08-28,"Summer","Campfire/Children/Smoking/Fireworks","Campfire","CA",0.1
1097167,158,2002,2002-06-07,"Spring","Campfire/Children/Smoking/Fireworks","Children","CA",0.1
1136532,141,2010,2010-05-21,"Spring","Equipment Use","Equipment Use","CA",2
1494899,150,2011,2011-05-30,"Spring","Equipment Use","Equipment Use","CA",1
1615162,294,2012,2012-10-20,"Fall","Debris Burning","Debris Burning","CA",0.1
1070081,341,2006,2006-12-07,"Fall","Equipment Use","Equipment Use","CA",1
1112964,131,1997,1997-05-11,"Spring","Debris Burning","Debris Burning","CA",0.1
1095110,251,1992,1992-09-07,"Summer","Campfire/Children/Smoking/Fireworks","Campfire","CA",35
1644309,229,2013,2013-08-17,"Summer","Campfire/Children/Smoking/Fireworks","Campfire","CA",0.7
1655531,126,2013,2013-05-06,"Spring","Equipment Use","Equipment Use","CA",195
1875354,110,2010,2010-04-20,"Spring","Equipment Use","Equipment Use","CA",0.01
1097431,175,2002,2002-06-24,"Summer","Equipment Use","Equipment Use","CA",4
365776,227,2002,2002-08-15,"Summer","Campfire/Children/Smoking/Fireworks","Smoking","CA",0.1
1797430,188,2015,2015-07-07,"Summer","Arson","Arson","CA",5
1090450,129,1997,1997-05-09,"Spring","Miscellaneous","Miscellaneous","CA",0.1
1130163,256,1993,1993-09-13,"Summer","Miscellaneous","Miscellaneous","CA",0.5
315079,298,2002,2002-10-25,"Fall","Miscellaneous","Miscellaneous","CA",0.1
1132491,197,2000,2000-07-15,"Summer","Equipment Use","Equipment Use","CA",0.1
1480713,251,2011,2011-09-08,"Summer","Miscellaneous","Miscellaneous","CA",0.01
1635707,126,2013,2013-05-06,"Spring","Miscellaneous","Miscellaneous","CA",0.1
1129016,218,2005,2005-08-06,"Summer","Lightning","Lightning","CA",6
1654401,190,2013,2013-07-09,"Summer","Missing/Undefined","Missing/Undefined","CA",3
1219449,273,2010,2010-09-30,"Fall","Miscellaneous","Miscellaneous","CA",6
1137124,169,1992,1992-06-17,"Spring","Miscellaneous","Miscellaneous","CA",1.5
154960,204,2003,2003-07-23,"Summer","Lightning","Lightning","CA",0.1
80767,302,1995,1995-10-29,"Fall","Campfire/Children/Smoking/Fireworks","Campfire","CA",0.1
1091012,139,1999,1999-05-19,"Spring","Arson","Arson","CA",2
1635856,207,2013,2013-07-26,"Summer","Lightning","Lightning","CA",0.1
217413,13,1999,1999-01-13,"Winter","Equipment Use","Equipment Use","CA",0.1
1659973,295,2013,2013-10-22,"Fall","Equipment Use","Equipment Use","CA",2
1508420,194,2011,2011-07-13,"Summer","Miscellaneous","Miscellaneous","CA",1
