Company,Language,Commits
Travis CI,DM,12
Siemens,C,12
Puppet,Clojure,1
Tencent,C++,1
Microsoft,Cool,1
SUSE,Haskell,7
Renovateapp,Dockerfile,3
Kaltura,C#,2
Odoo,Python,9
Facebook,Rust,5
SAP,Python,1
Alibaba,PHP,6
PingCAP,Go,6
Microsoft,Python,87
Google,None,88
Snyk,None,2
Travis CI,Adblock Filter List,1
Palo Alto Networks,Brainfuck,1
Renovateapp,Rust,44
Google,C,226
Pivotal,Java,88
LINE Corporation,C++,2
Alibaba,Scala,1
NVidia,C++,31
Odoo,JavaScript,21
Percona,Groovy,1
Amazon,HTML,9
NXP,Rust,5
Pivotal,None,1
Tencent,None,8
Oracle,Scala,6
Samsung,HTML,1
Renovateapp,Vue,268
GitHub,C++,18
Renovateapp,Svelte,8
Test.com,None,8
AMD,C,4
Salesforce,Go,3
Intel,C,99
Netflix,Kotlin,5
Uber,Go,5
Bootlin,C,16
Netflix,Java,3
SAP,TypeScript,9
Microchip Technology,C,5
Uber,Python,12
SUSE,None,4
Google,Nunjucks,3
WIX,Scala,1
CircleCI,Kotlin,1
Netflix,C,3
Nextcloud,PHP,10
SAP,Java,6
EPAM,Python,11
GitHub,DM,7
Open Robotics,None,1
Orange,Java,1
Wind River,BitBake,2
ScyllaDB,Python,12
Enalean,SCSS,1
Accenture,None,1
Mozilla,C,3
Nordic Semiconductor,C,3
New Relic,HCL,1
Travis CI,None,55
Elastic,Java,4
SAP,None,1
CircleCI,Python,29
Microsoft,Shell,16
Julia Computing,Julia,35
GitHub,C,12
GitHub,WebAssembly,2
Broadcom,C,5
Expedia Group,Java,1
Mapbox,PLpgSQL,1
GitHub,Kotlin,2
Intel,Rust,1
Nextcloud,Swift,1
NXP,None,1
Travis CI,Crystal,3
Travis CI,C++,21
Microsoft,F*,2
Salesforce,None,3
WIX,None,6
Expedia Group,None,1
Uber,None,26
GitHub,R,3
Google,Haskell,4
Gradle,Java,8
Netflix,TypeScript,17
Travis CI,Swift,2
Tencent,JavaScript,14
Sony,None,1
GitHub,Groovy,1
Samsung,C,11
IBM,JavaScript,33
Kaltura,PHP,17
VMware,Swift,6
Amazon,JavaScript,14
Snyk,Java,5
Google,Swift,1
Tencent,Makefile,7
WIX,TypeScript,26
VMware,Jupyter Notebook,1
Microsoft,Dockerfile,8
Accenture,C,11
Gofore,Clojure,7
Aiven,Go,2
Mozilla,GLSL,1
Yandex,C++,47
Snyk,JavaScript,36
Cisco Systems,None,19
Travis CI,C,7
Atlassian,JavaScript,5
Automattic,JavaScript,7
GitHub,Ruby,10
Ant Financial,Java,3
Shopify,Ruby,3
Kitware,None,24
Datadoghq,Python,2
Yandex,JavaScript,1
SUSE,Perl,3
Renovateapp,Clojure,1
Igalia,None,1
Google,Emacs Lisp,4
Mozilla,Kotlin,16
Cloudfare,None,11
Expedia Group,Scala,1
Kainos,TypeScript,1
Chef,Erlang,2
Docker,Go,1
IBM,OpenQASM,1
IBM,Go,15
Orange,Jinja,1
Tencent,Shell,4
Intel,JavaScript,2
Facebook,C,2
WIX,Objective-C,4
NXP,C,9
Andela,Vim Script,8
Travis CI,Python,34
Bitnami,Go,6
IBM,C,13
Adobe,Kotlin,1
Travis CI,Kotlin,2
Netflix,C++,11
Kitware,C++,32
Yahoo,Java,19
Amazon,Java,13
VMware,Shell,12
Automattic,Kotlin,6
WIX,JavaScript,10
Nextcloud,Kotlin,1
Endlessm,C,1
SUSE,HTML,1
GitHub,HTML,42
Oracle,C,20
Travis CI,Nim,4
HashiCorp,Go,9
Cozy,JavaScript,4
Samsung,C#,3
Microsoft,R,1
SUSE,Java,10
Renovateapp,Elm,10
Stripe,Ruby,10
Linaro,Emacs Lisp,6
Tencent,SCSS,2
Orange,C,2
Joyent,Shell,1
Equinor,C++,6
Intel,TypeScript,3
PTV Group,HTML,8
STMicroelectronics,C,1
Alibaba,Objective-C,1
Facebook,SCSS,15
GitHub,CSS,1
Accenture,Shell,2
Uber,JavaScript,1
Balena,CoffeeScript,6
Open Robotics,Python,1
Tencent,PHP,23
Mozilla,None,88
Cloudbees,None,3
Twilio,JavaScript,12
NVidia,TypeScript,20
Accenture,HTML,1
D2iQ,Scala,1
Docker,JavaScript,1
Pyup,Python,47
Obvious,Kotlin,46
Travis CI,Batchfile,4
Pivotal,Shell,13
Red Hat,JavaScript,2
SUSE,Ruby,1
Huawei,C,82
Acsone,Python,25
Travis CI,R,8
Alibaba,JavaScript,3
Alibaba,Java,13
LG Electronics,Java,1
Microsoft,JavaScript,53
Amazon,None,17
LG Electronics,BitBake,21
DigitalOcean,Go,22
LinkedIn,Java,16
GitHub,Dart,1
Ericsson,Java,1
Cloudera,C++,1
ESRI,JavaScript,1
Bitnami,Dockerfile,107
Verizon Media,Python,25
Percona,C++,6
Renovateapp,Objective-C,3
Microsoft,C++,8
GitHub,Java,5
Kaltura,Java,4
Apple,Makefile,5
Apple,Swift,5
RTE,Java,1
Ericsson,TypeScript,3
Apple,Scala,7
Open Robotics,Ruby,19
Sony,C,4
CGI,JavaScript,1
Travis CI,Lua,2
Amazon,Python,30
Microsoft,F#,8
ConsenSys,Java,7
Twitter,Rust,14
MuleSoft,Java,1
LunarG,C++,1
Improbable,C#,1
ArangoDB,Go,6
Amazon,Rust,13
Yunion,Go,5
Infosiftr,Perl,15
Facebook,Go,1
Travis CI,OCaml,1
Balena,BitBake,6
Snyk,HTML,1
Unity Technologies,Python,2
Azavea,Python,5
Autonomous,Go,3
Huawei,Java,12
Adobe,PHP,9
Twitter,Python,1
Kitware,C,1
commercetools,TypeScript,2
Uber,Java,1
Kaltura,None,1
Instructure,JavaScript,5
Red Hat,Python,168
Lyft,Go,2
Elastic,TypeScript,13
Salesforce,Python,10
Broadcom,Java,8
RStudio,R,3
Capgemini,Java,1
iXsystems,Shell,3
Espressif,Python,1
Netflix,PHP,1
Twitter,Java,1
Google,TypeScript,28
Amazon,Shell,5
Mellanox Technologies,C,66
New Relic,C,10
Pivotal,HTML,6
Huawei,JavaScript,12
ESRI,TypeScript,4
Intel,C++,117
Polidea,Python,38
SUSE,Go,4
Huawei,Fortran,2
Microsoft,Liquid,1
The guardian,Scala,2
Facebook,None,1
Tencent,Go,3
Baidu,Python,3
Linaro,C,37
Philips,JavaScript,2
JetBrains,TypeScript,1
CircleCI,None,3
Uber,Shell,1
Shopware,JavaScript,1
Google,Vim script,1
PTV Group,TypeScript,8
Google,OCaml,1
SUSE,Python,54
Kaltura,JavaScript,13
Microsoft,TSQL,1
Intel,Java,10
CircleCI,PHP,12
Microsoft,HTML,4
Red Hat,Gherkin,1
Cloudera,Java,89
Canonical,Python,3
Uber,C,2
JetBrains,F#,1
Brave,JavaScript,5
Yahoo,Python,4
Elastic,SCSS,1
Google,Vim Script,1
Alibaba,None,1
Travis CI,Ruby,18
Tencent,Python,19
GitHub,TypeScript,2
Pivotal,C++,2
Automattic,Java,1
Origin,HTML,1
Pyup,HTML,1
Red Hat,HTML,43
GitHub,Python,111
EuroLinux,Dockerfile,6
Apple,Java,6
GitHub,None,42
Unity Technologies,C++,9
Renovateapp,JavaScript,633
Palantir,Java,23
Cockroachlabs,Go,6
WSO2,Shell,1
Baidu,JavaScript,3
ThoughtWorks,C#,2
Travis CI,EJS,3
IBM,Scala,7
Microsoft,PowerShell,105
Datadoghq,None,7
Wind River,Python,11
Tencent,Java,1
Snyk,Go,1
Amazon,C++,13
Digital Asset,Python,18
NXP,Python,1
Travis CI,SCSS,5
Facebook,JavaScript,4
Twitter,Scala,4
Ant Financial,Go,2
Silverstripe,JavaScript,6
ThoughtWorks,JavaScript,4
Nextcloud,Java,4
Infosys Ltd,JavaScript,2
Liferay,Java,30
Facebook,Python,21
Zalando,Scala,4
NVidia,C,8
Kaltura,Shell,1
Camunda,HTML,1
Palo Alto Networks,Python,109
mongoDB,C,10
ScyllaDB,C++,20
Shopify,HTML,3
Automattic,None,1
LINE Corporation,Java,10
Luxoft,Python,1
VMware,None,13
Sentry,Python,7
D2iQ,SCSS,1
Broadcom,Shell,3
Travis CI,TypeScript,41
Red Hat,Java,74
SiFive,C,2
Netflix,Groovy,3
D2iQ,Java,1
Bloomberg,Java,1
GitHub,JavaScript,48
TI,C,11
Confluent,Java,40
SecOps Solutions,None,24
IBM,C++,12
Binary Group,None,8
GitHub,SCSS,2
Bloomberg,None,1
SUSE,Shell,16
Synopsys,C,12
EPAM,HTML,2
Verizon Media,Java,1
Collabora,Python,17
mongoDB,Dockerfile,12
WSO2,None,1
Apple,HTML,1
IBM,Python,26
Tencent,HTML,2
GitLab,Ruby,5
Red Hat,C++,24
Travis CI,Vue,7
MediaTek,Java,1
Google,Ruby,10
Intel,None,16
Huawei,Ruby,10
Netflix,Python,1
Automattic,Swift,4
Chef,Ruby,9
Mozilla,TypeScript,1
Linagora,Shell,2
Bitnami,None,2
Reaktor,C,2
Shopify,C++,2
AMD,None,13
Cisco Systems,Java,1
GitHub,C#,4
Google,Shell,2
Adobe,Java,5
Travis CI,Stylus,1
Pivotal,C,20
Dynatrace,HTML,1
GitHub,Dockerfile,2
Square,Java,1
VMware,CSS,2
Google,HTML,13
Google,GLSL,4
Percona,Go,1
Bitnami,Shell,229
Square,None,1
Travis CI,HTML,93
Accenture,CSS,9
Kitware,Python,26
Huawei,Scala,2
Truss Works,Go,4
Google,Java,141
Broadcom,Go,12
Block.one,C++,17
Yandex,C,3
Linutronix,C,5
D2iQ,None,1
SUSE,C,53
Mozilla,PowerShell,1
Huawei,Python,13
Pyup,Shell,1
Travis CI,Go,1
Sentry,Rust,1
Travis CI,Makefile,3
Travis CI,Nix,2
WIX,Go,2
Infosys Ltd,HTML,1
Microsoft,C#,222
New Relic,Go,2
Nordic Semiconductor,C++,2
Cockroachlabs,None,1
Indexdata,JavaScript,2
Travis CI,Rust,5
Adguard,JavaScript,9
Nextcloud,C++,1
Kaltura,Swift,1
