title,imdb_score,Director
Bonboné,,All Comedies
Hedefim Sensin,6.2,All Comedies
Motu Patlu in Dragon World,,All Comedies
Thug Life,5.7,All Comedies
Table Manners,5.1,All Comedies
Na stojáka v kině,5.0,All Comedies
Daniel Sosa: Sosafado,5.4,All Comedies
The Royal Hibiscus Hotel,5.4,All Comedies
Alan Saldaña: mi vida de pobre,6.3,All Comedies
Mama's Boy,6.1,All Comedies
Natalia Valdebenito: El especial,5.0,All Comedies
Mau Nieto: viviendo sobrio… desde el bar,6.7,All Comedies
Mrs. Miracle Animals: An Squirrel's Princess Bride,4.7,All Comedies
Alexis de Anda: Mea Culpa,4.9,All Comedies
Carlos Ballarta: furia ñera,7.2,All Comedies
Marco Luque - We are together,4.3,All Comedies
Felipe Neto: My Life Makes No Sense,4.4,All Comedies
Yoo Byung Jae: Discomfort Zone,,All Comedies
Ricardo Quevedo: Hay gente así,6.3,All Comedies
Shubh Aarambh,6.7,All Comedies
"I, Potro",6.2,All Comedies
Fakkah Fuzz: Almost Banned,4.2,All Comedies
Arango y Sanint: Ríase el show,4.0,All Comedies
Jani Dueñas: Grandes fracasos de ayer y hoy,4.8,All Comedies
Adel Karam: Live from Beirut,5.3,All Comedies
Next Enti?,4.5,All Comedies
Todd Glass: Act Happy,5.1,All Comedies
Fernando Sanjiao: Hombre,6.3,All Comedies
Yoo Byung Jae: Too Much Information,5.3,All Comedies
Potato Potahto,4.1,All Comedies
Harith Iskander: I Told You So,4.6,All Comedies
Santo cachón,4.7,All Comedies
Enissa Amani: Ehrenwort,5.5,All Comedies
Simplemente Manu NNa,5.4,All Comedies
Babamın Ceketi,4.9,All Comedies
Grillo vs Grillo,5.3,All Comedies
Sebastián Marcelo Wainraich,6.4,All Comedies
Baby Mamas,6.6,All Comedies
Kavin Jay : Everybody Calm Down!,5.9,All Comedies
Unexpectedly Yours,6.7,All Comedies
Prince of Peoria: A Christmas Moose Miracle,,All Comedies
D.L. Hughley: Contrarian,6.5,All Comedies
Joe Mande's Award-Winning Comedy Special,6.1,All Comedies
Deliha 2,4.7,All Comedies
Fabrizio Copano: solo pienso en mí,5.0,All Comedies
Jen Kirkman: Just Keep Livin'?,6.8,All Comedies
Wedy Atkalam,5.7,All Comedies
"Yes, God, Yes",6.1,All Comedies
Mank,6.8,All Comedies
Straight Up,6.8,All Comedies
Murder Mystery,6.0,All Comedies
Wine Country,5.4,All Comedies
Bad Trip,6.5,All Comedies
The Half of It,6.9,All Comedies
The Prom,5.9,All Comedies
The Paper Tigers,6.3,All Comedies
Between Two Ferns: The Movie,6.1,All Comedies
American Pie Presents: Girls' Rules,,All Comedies
Over the Moon,6.3,All Comedies
The Forty-Year-Old Version,7.2,All Comedies
Captain Underpants: Epic Choice-o-rama,6.4,All Comedies
Love Wedding Repeat,5.5,All Comedies
Milkwater,,All Comedies
Bill Burr: Paper Tiger,8.1,All Comedies
Dave Chappelle: Sticks & Stones,8.4,All Comedies
"Live Twice, Love Once",7.2,All Comedies
Poms,6.0,All Comedies
Jo Koy: Comin’ In Hot,7.3,All Comedies
The Willoughbys,6.3,All Comedies
An Easy Girl,5.6,All Comedies
Nate Bargatze: The Tennessee Kid,7.6,All Comedies
The Babysitter: Killer Queen,5.8,All Comedies
Tall Girl,5.2,All Comedies
Super Deluxe,8.4,All Comedies
Unbreakable Kimmy Schmidt: Kimmy vs. the Reverend,6.9,All Comedies
Jenny Slate: Stage Fright,5.8,All Comedies
Vampires vs. the Bronx,5.6,All Comedies
Anthony Jeselnik: Fire in the Maternity Ward,7.2,All Comedies
The Stand In,4.7,All Comedies
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,,All Comedies
The Fable,6.5,All Comedies
How High 2,3.0,All Comedies
Friendsgiving,4.4,All Comedies
Jerry Seinfeld: 23 Hours to Kill,6.7,All Comedies
Michelle Wolf: Joke Show,7.2,All Comedies
Death to 2020,6.8,All Comedies
Desperados,5.2,All Comedies
Dave Chappelle: The Kennedy Center Mark Twain Prize,7.4,All Comedies
Sebastian Maniscalco: Stay Hungry,7.0,All Comedies
Gabriel Iglesias: One Show Fits All,7.2,All Comedies
Nikki Glaser: Bangin',6.1,All Comedies
Hannah Gadsby: Douglas,,All Comedies
Almost Love,5.7,All Comedies
Jo Koy: In His Elements,5.4,All Comedies
Taylor Tomlinson: Quarter-Life Crisis,7.4,All Comedies
Benchwarmers 2: Breaking Balls,4.1,All Comedies
Me Against You: Mr. S's Vendetta,1.6,All Comedies
Tom Segura: Ball Hog,7.3,All Comedies
Mike Birbiglia: The New One,7.7,All Comedies
"Love, Guaranteed",5.6,All Comedies
The Kissing Booth 2,5.7,All Comedies
Undercover Brother 2,3.4,All Comedies
Dear Mother,5.8,All Comedies
The F**k-It List,5.1,All Comedies
Ni de coña,2.8,All Comedies
John Mulaney & The Sack Lunch Bunch,7.4,All Comedies
Pets United,3.7,All Comedies
Aziz Ansari: Right Now,7.5,All Comedies
Asphalt Burning,5.1,All Comedies
All My Friends Are Dead,5.8,All Comedies
Jim Jefferies: Intolerant,7.2,All Comedies
Work It,6.1,All Comedies
A Remarkable Tale,5.3,All Comedies
So My Grandma's a Lesbian!,4.3,All Comedies
Tom Papa: You're Doing Great!,7.2,All Comedies
"Frankenstein's Monster's Monster, Frankenstein",5.8,All Comedies
Marc Maron: End Times Fun,6.8,All Comedies
Otherhood,6.1,All Comedies
Sextuplets,4.4,All Comedies
Feel the Beat,6.3,All Comedies
"Oh, Ramona!",4.8,All Comedies
Rich in Love,6.0,All Comedies
Best of Stand-up 2020,5.4,All Comedies
Jimmy Carr: The Best of Ultimate Gold Greatest Hits,7.3,All Comedies
4 latas,5.9,All Comedies
Kevin Hart: Zero F**ks Given,6.0,All Comedies
Michael McIntyre: Showman,7.1,All Comedies
Wanda Sykes: Not Normal,7.2,All Comedies
Grand-Daddy Day Care,4.9,All Comedies
The Last Laugh,5.6,All Comedies
Pete Davidson: Alive from New York,6.1,All Comedies
Katherine Ryan: Glitter Room,6.7,All Comedies
Jack Whitehall: I'm Only Joking,6.6,All Comedies
Kevin Hart: Irresponsible,6.5,All Comedies
Airplane Mode,5.1,All Comedies
The Knight Before Christmas,5.5,All Comedies
Made in China,6.2,All Comedies
Rising High,5.9,All Comedies
Rhys Nicholson: Live at the Athenaeum,7.5,All Comedies
Ronny Chieng: Asian Comedian Destroys America!,7.4,All Comedies
Luka Chuppi,6.3,All Comedies
Bheeshma,6.5,All Comedies
Three Thieves,8.2,All Comedies
The Millions,5.4,All Comedies
Eric Andre: Legalize Everything,6.1,All Comedies
Wheels of Fortune,5.3,All Comedies
"Berlin, Berlin",3.8,All Comedies
Kannum Kannum Kollaiyadithaal,7.7,All Comedies
The Princess Switch: Switched Again,,All Comedies
Bert Kreischer: Hey Big Boy,7.0,All Comedies
Midnight at the Magnolia,5.8,All Comedies
The Little Switzerland,4.8,All Comedies
Simon Amstell: Set Free,6.5,All Comedies
Jack Whitehall: Christmas with my Father,6.0,All Comedies
Who Would You Take to a Deserted Island?,5.3,All Comedies
Sarah Cooper: Everything's Fine,5.5,All Comedies
All the Freckles in the World,5.2,All Comedies
Fortune Feimster: Sweet & Salty,6.8,All Comedies
Amy Schumer: Growing,5.4,All Comedies
Motichoor Chaknachoor,5.8,All Comedies
Chris D'Elia: No Pain,5.9,All Comedies
Indoo Ki Jawani,3.0,All Comedies
Franco Escamilla: bienvenido al mundo,7.0,All Comedies
Seth Meyers: Lobby Baby,7.4,All Comedies
Whitney Cummings: Can I Touch It?,6.5,All Comedies
Jeff Dunham: Beside Himself,6.9,All Comedies
Uma Maheswara Ugra Roopasya,7.7,All Comedies
Nate: A One Man Show,6.6,All Comedies
Hazel Brugger: Tropical,6.2,All Comedies
Afonso Padilha: Classless,6.8,All Comedies
Fierce,5.5,All Comedies
The Trap,4.3,All Comedies
Larry the Cable Guy: Remain Seated,6.6,All Comedies
"Ken Jeong: You Complete Me, Ho",5.7,All Comedies
Alex Fernández: The Best Comedian in the World,6.1,All Comedies
"¡Ay, mi madre!",3.9,All Comedies
Thiago Ventura: POKAS,6.4,All Comedies
Dolly Parton's Christmas on the Square,5.2,All Comedies
"Rob Schneider: Asian Momma, Mexican Kids",5.5,All Comedies
Despite Everything,5.3,All Comedies
Tiffany Haddish: Black Mitzvah,6.3,All Comedies
Blanche Gardin - Bonne nuit Blanche,,All Comedies
The Man Who Feels No Pain,7.3,All Comedies
The Claus Family,5.5,All Comedies
Sam Jay: 3 in the Morning,6.4,All Comedies
Iliza Shlesinger: Unveiled,6.5,All Comedies
Michelle Buteau: Welcome to Buteaupia,7.0,All Comedies
Manmadhudu 2,4.8,All Comedies
Just Another Christmas,6.7,All Comedies
So Much Love to Give,,All Comedies
Still Laugh-In: The Stars Celebrate,5.2,All Comedies
Vir Das: For India,7.7,All Comedies
Felix Lobrecht: Hype,5.8,All Comedies
The Unknown Saint,6.5,All Comedies
Varane Avashyamund,6.9,All Comedies
Chopsticks,6.5,All Comedies
Back to School,5.3,All Comedies
"Ray Romano: Right Here, Around the Corner",7.2,All Comedies
Arsenio Hall: Smart and Classy,6.0,All Comedies
Luccas Neto in: Summer Camp,2.8,All Comedies
Maska,5.9,All Comedies
Too Handsome To Handle,6.7,All Comedies
Ginny Weds Sunny,5.7,All Comedies
Kenny Sebastian: The Most Interesting Person in the Room,6.0,All Comedies
A Family Reunion Christmas,5.8,All Comedies
Scarecrow,,All Comedies
Isa Pa with Feelings,7.8,All Comedies
Omo Ghetto: The Saga,7.5,All Comedies
The Knight and the Princess,5.5,All Comedies
Ari Eldjárn: Pardon My Icelandic,,All Comedies
One-Way to Tomorrow,5.6,All Comedies
"Colin Quinn: Red State, Blue State",7.6,All Comedies
Malibu Rescue: The Next Wave,4.8,All Comedies
George Lopez: We'll Do It for Half,5.7,All Comedies
Time Out,5.9,All Comedies
Pegasus,6.3,All Comedies
Krishna and His Leela,5.6,All Comedies
Axone,6.9,All Comedies
Tootsies & The Fake,5.9,All Comedies
Namaste Wahala,5.1,All Comedies
Adam Devine: Best Time of Our Lives,5.9,All Comedies
Stunt School,4.4,All Comedies
Ahaan,7.0,All Comedies
Ricardo Quevedo: los amargados somos más,7.3,All Comedies
Deon Cole: Cole Hearted,6.9,All Comedies
Who's the Boss,5.7,All Comedies
Brother in Love,7.0,All Comedies
Urzila Carlson: Overqualified Loser,6.3,All Comedies
Luccas Neto em: Uma Babá Muito Esquisita,3.0,All Comedies
Jai Mummy Di,3.7,All Comedies
Mauricio Meirelles: Generating Chaos,,All Comedies
Mariposa,6.9,All Comedies
Kevin Hart's Guide to Black History,5.5,All Comedies
London Hughes: To Catch A D*ck,4.7,All Comedies
Jeff Garlin: Our Man in Chicago,5.9,All Comedies
The House of Flowers Presents: The Funeral,,All Comedies
Leslie Jones: Time Machine,,All Comedies
Seriously Single,4.4,All Comedies
Four Sisters Before the Wedding,6.2,All Comedies
Velvet Colección: Grand Finale,7.2,All Comedies
A Home with a View,5.9,All Comedies
Mo Gilligan: Momentum,6.3,All Comedies
Guddiyan Patole,7.0,All Comedies
Kaamyaab,,All Comedies
Liss Pereira: Reteniendo Liquidos,6.4,All Comedies
Mike Epps: Only One Mike,4.7,All Comedies
Whindersson Nunes: Adulto,7.0,All Comedies
Kandasamys: The Wedding,6.0,All Comedies
Mujeres arriba,3.8,All Comedies
Kids on the Block,5.6,All Comedies
Kaake Da Viyah,5.1,All Comedies
House Arrest,5.5,All Comedies
Wanted - Matloubin,4.5,All Comedies
David A. Arnold Fat Ballerina,7.3,All Comedies
Feo pero Sabroso,4.3,All Comedies
The American Game,,All Comedies
Francesco De Carlo: Cose di Questo Mondo,6.3,All Comedies
Fadily Camara: La plus drôle de tes copines,5.7,All Comedies
Mohamed Hussein,,All Comedies
Mokalik (Mechanic),6.2,All Comedies
Amit Tandon: Family Tandoncies,7.1,All Comedies
The Panti Sisters,5.5,All Comedies
Sur Sapata,7.3,All Comedies
Luccas Neto in: Children's Day,2.5,All Comedies
Death Can Wait,4.6,All Comedies
Born Beautiful,5.4,All Comedies
Grego Rossello: Disculpe las molestias,4.5,All Comedies
Kalek Shanab,,All Comedies
Saverio Raimondo: Il Satiro Parlante,5.7,All Comedies
Mutiny of the Worker Bees,4.1,All Comedies
RK Nagar,5.1,All Comedies
"Martin Matte: La vie, la mort... eh la la..!",6.5,All Comedies
David Batra: Elephant in The Room,5.9,All Comedies
Uncle Naji in UAE,5.0,All Comedies
Super Monsters: Vida's First Halloween,5.9,All Comedies
An Unremarkable Christmas,3.2,All Comedies
"Yours Sincerely, Kanan Gill",7.1,All Comedies
Finding Hubby,,All Comedies
Alelí,6.3,All Comedies
Daniel Sosa: Maleducado,6.1,All Comedies
The App That Stole Christmas,3.7,All Comedies
Park Na-rae: Glamour Warning,,All Comedies
Crazy Awesome Teachers,6.1,All Comedies
Vir Das: Outside in - The Lockdown Special,6.4,All Comedies
Leyla Everlasting,3.7,All Comedies
My Stupid Boss 2,6.6,All Comedies
Fate of Alakada,6.9,All Comedies
Sab el-Burumbah,5.6,All Comedies
Holy Expectations,5.2,All Comedies
Nenjamundu Nermaiyundu Odu Raja,6.1,All Comedies
Miranda Sings Live... Your Welcome,5.4,All Comedies
Edoardo Ferrario: Temi Caldi,6.5,All Comedies
Sing 2,7.4,All Comedies
The Sea Beast,7.1,All Comedies
Valley of the Dead,6.5,All Comedies
Bill Burr: Live at Red Rocks,7.8,All Comedies
Don't Look Up,7.2,All Comedies
Dave Chappelle: What's in a Name?,,All Comedies
The Mitchells vs. the Machines,7.6,All Comedies
Senior Year,5.5,All Comedies
Norm Macdonald: Nothing Special,7.6,All Comedies
The Bubble,4.7,All Comedies
For Jojo,4.2,All Comedies
The Best of Netflix Is a Joke: The Festival,,All Comedies
Ricky Gervais: SuperNature,7.8,All Comedies
Bo Burnham: Inside,8.7,All Comedies
Army of Thieves,6.4,All Comedies
Jackass 4.5,,All Comedies
A Perfect Pairing,6.1,All Comedies
Cristela Alonzo: Middle Classy,6.8,All Comedies
Bigbug,5.4,All Comedies
Bill Burr Presents: Friends Who Kill,4.5,All Comedies
Too Old for Fairy Tales,6.1,All Comedies
Dave Chappelle: The Closer,8.0,All Comedies
Live Is Life,7.0,All Comedies
The Starling,6.3,All Comedies
Yes Day,5.7,All Comedies
Ante... Sundaraniki!,8.0,All Comedies
Joel Kim Booster: Psychosexual,5.5,All Comedies
Taylor Tomlinson: Look at You,7.3,All Comedies
Pete Davidson Presents: The Best Friends,4.7,All Comedies
Jim Gaffigan: Comedy Monster,6.8,All Comedies
David A. Arnold: It Ain't for the Weak,,All Comedies
Tyler Perry's A Madea Homecoming,5.6,All Comedies
Amy Schumer Presents: Parental Advisory,3.8,All Comedies
He's All That,4.3,All Comedies
Aziz Ansari: Nightclub Comedian,7.0,All Comedies
Ali Wong: Don Wong,6.5,All Comedies
Jimmy Carr: His Dark Material,7.1,All Comedies
Paul Virzi: Nocturnal Admissions,7.1,All Comedies
Minnal Murali,8.1,All Comedies
Good on Paper,5.6,All Comedies
David Spade: Nothing Personal,5.8,All Comedies
F3: Fun and Frustration,5.5,All Comedies
Stand Out: An LGBTQ+ Celebration,5.9,All Comedies
Dirty Daddy: The Bob Saget Tribute,6.6,All Comedies
Mandela,,All Comedies
Love and Leashes,6.3,All Comedies
Nate Bargatze: The Greatest Average American,7.3,All Comedies
Badhaai Do,7.1,All Comedies
Jane Fonda & Lily Tomlin: Ladies Night Live,5.5,All Comedies
Mixtape,6.6,All Comedies
Dear Friend,5.9,All Comedies
Marilyn's Eyes,6.6,All Comedies
The Loud House Movie,6.1,All Comedies
Honeymoon With My Mother,5.8,All Comedies
Death to 2021,6.3,All Comedies
Bruna Louise: Demolition,4.5,All Comedies
Tall Girl 2,4.7,All Comedies
Heart Parade,4.9,All Comedies
Brian Regan: On the Rocks,6.8,All Comedies
Four to Dinner,6.3,All Comedies
Katt Williams: World War III,4.6,All Comedies
Stuck Together,6.3,All Comedies
F*ck Love Too,3.8,All Comedies
Chappelle's Home Team - Earthquake: Legendary,6.9,All Comedies
The Trip 6,3.2,All Comedies
Jeff Foxworthy: The Good Old Days,6.1,All Comedies
The Perfect Family,5.3,All Comedies
Nicole Byer: BBW (Big Beautiful Weirdo),5.7,All Comedies
Sounds Like Love,5.4,All Comedies
Secret Magic Control Agency,6.2,All Comedies
Mimi,,All Comedies
The Princess Switch 3: Romancing the Star,5.5,All Comedies
Ronny Chieng: Speakeasy,6.3,All Comedies
Jonas Brothers Family Roast,5.2,All Comedies
40 Love,,All Comedies
Roohi,4.3,All Comedies
Confessions of an Invisible Girl,5.2,All Comedies
Theo Von: Regular People,5.1,All Comedies
Chris Rock Total Blackout: The Tamborine Extended Cut,7.1,All Comedies
Christina P: Mom Genes,5.8,All Comedies
Phil Wang: Philly Philly Wang Wang,6.1,All Comedies
40 Years Young,4.3,All Comedies
Love Tactics,5.2,All Comedies
Yuri Marçal: Honest Mistake,6.1,All Comedies
The Secret Diary of an Exchange Student,5.3,All Comedies
Hate by Dani Rovira,6.7,All Comedies
Dasvi,7.4,All Comedies
Spoiled Brats,6.1,All Comedies
Squared Love,5.1,All Comedies
Carnaval,4.0,All Comedies
All About Gila,4.2,All Comedies
Just Say Yes,4.5,All Comedies
Sex: Unzipped,2.5,All Comedies
This Is Not a Comedy,4.9,All Comedies
Jagame Thandhiram,5.8,All Comedies
Mike Epps: Indiana Mike,4.2,All Comedies
Ms. Pat: Y'all Wanna Hear Something Crazy?,5.9,All Comedies
Whindersson Nunes: My Own Show!,7.0,All Comedies
Get the Goat,6.0,All Comedies
Time,,All Comedies
Sweet & Sour,6.7,All Comedies
The Guide to the Perfect Family,6.4,All Comedies
Today We Fix the World,6.2,All Comedies
One Night in Paris,4.5,All Comedies
Chris Distefano: Speshy Weshy,6.4,All Comedies
Only You,6.5,All Comedies
Mommy Issues,5.4,All Comedies
Double Dad,5.6,All Comedies
Into the Wind,5.2,All Comedies
A California Christmas: City Lights,5.5,All Comedies
Breaded Life,7.7,All Comedies
Father Christmas Is Back,4.5,All Comedies
Meskina,5.6,All Comedies
In for a Murder,5.3,All Comedies
Larva Pendant,,All Comedies
Just Short of Perfect,5.3,All Comedies
One Second,4.7,All Comedies
1000 Miles from Christmas,5.7,All Comedies
Michael Che: Shame the Devil,6.4,All Comedies
Pagglait,6.9,All Comedies
Carlos Ballarta: False Prophet,6.7,All Comedies
The Humans & the Mongoose,5.4,All Comedies
Aelay,,All Comedies
The Land,6.1,All Comedies
"Michela Giraud: The Truth, I Swear!",5.5,All Comedies
Carolin Kebekus: The Last Christmas Special,4.7,All Comedies
Cem Yılmaz: Diamond Elite Platinum Plus,6.6,All Comedies
Sardar Ka Grandson,4.2,All Comedies
Mo Gilligan: There's Mo to Life,5.8,All Comedies
Mo Amer: Mohammed in Texas,6.5,All Comedies
Kapil Sharma: I'm Not Done Yet,6.9,All Comedies
Grumpy Christmas,4.4,All Comedies
Haroun,6.3,All Comedies
Brother in Love 2,6.5,All Comedies
Bankrolled,4.0,All Comedies
Love Is Color Blind,6.1,All Comedies
Loyiso Gola: Unlearning,5.9,All Comedies
A Perfect Fit,5.3,All Comedies
Chief Daddy 2: Going for Broke,3.0,All Comedies
Alan Saldaña: Locked Up,,All Comedies
Stuck Apart,6.0,All Comedies
"Let's Tie the Knot, Honey!",4.4,All Comedies
"Rodrigo Sant'anna: I'm Here, I'm Queer!",2.6,All Comedies
Little Big Mouth,3.9,All Comedies
A Naija Christmas,4.7,All Comedies
Social Man,,All Comedies
Celeb Five: Behind the Curtain,4.7,All Comedies
Just in Time,6.9,All Comedies
Lokillo: Nothing's the Same,4.7,All Comedies
Lee Su-geun: The Sense Coach,4.1,All Comedies
Soy Rada: Serendipity,6.2,All Comedies
Dearest Boy,6.0,All Comedies
What Happened to Mr Cha?,4.3,All Comedies
The Heartbreak Club,6.3,All Comedies
Angeliena,7.3,All Comedies
Momshies! Your Soul is Mine,5.8,All Comedies
Kongsi Raya,7.0,All Comedies
Princess 'Daya'Reese,7.1,All Comedies
Lokillo,3.8,All Comedies
