region,first,second,third
Latin America & Caribbean,798.8748132700001,998.4284410110002,1036.334951796
South Asia,33.420878593,54.969930729000005,86.053056561
Sub-Saharan Africa,317.24179249400004,426.7364540030001,452.15740760899996
Europe & Central Asia,3603.000638198,3444.2279712310005,3080.539721253
Middle East & North Africa,1721.373361962,2005.717643403,1835.3105388629997
East Asia & Pacific,1124.8175031259998,1246.780400285,1340.5149247059999
North America,349.2528148399999,358.61084077,314.31285944999996
