Gender,inflightWifi,Dept_Arr_Time_Convenience,onlineBooking_ease,gateLocation,foodandDrinks,onlineBoarding,seatComfort,inflightEntertainment,onboardService,legroomService,baggageHandling,checkinService,inflightService,Cleanliness
Male,2.737,3.072,2.765,2.976,3.207,3.191,3.4,3.363,3.391,3.392,3.676,3.317,3.688,3.29
Female,2.721,3.044,2.749,2.978,3.203,3.313,3.481,3.353,3.375,3.311,3.59,3.296,3.598,3.283
