travelType,inflightWifi,Dept_Arr_Time_Convenience,onlineBooking_ease,gateLocation,foodandDrinks,onlineBoarding,seatComfort,inflightEntertainment,onboardService,legroomService,baggageHandling,checkinService,inflightService,Cleanliness
Personal,2.518,3.644,2.476,2.92,3.068,2.801,3.19,3.053,3.268,3.076,3.574,3.337,3.601,3.12
Business,2.823,2.795,2.883,3.002,3.266,3.455,3.554,3.495,3.435,3.474,3.658,3.292,3.661,3.361
