AgeRange,Grouping,Age,inflightWifi,Dept_Arr_Time_Convenience,onlineBooking_ease,gateLocation,foodandDrinks,onlineBoarding,seatComfort,inflightEntertainment,onboardService,legroomService,baggageHandling,checkinService,inflightService,Cleanliness
0-14,Loyal Customer,10.02778896496174,2.527587595650423,3.5205396697543296,2.5384615384615383,2.9091824405960534,2.987716472009666,2.5517519130084576,2.9605316149818766,3.0157068062827226,3.2635924285138946,3.22553362867499,3.688884414015304,3.26057188884414,3.7182843334675795,3.00463149416029
0-14,disloyal Customer,10.310725552050473,2.634069400630915,2.4400630914826498,2.645110410094637,3.1640378548895898,3.0078864353312302,2.6167192429022084,2.952681388012618,3.0173501577287065,2.9006309148264986,3.1135646687697163,3.6167192429022084,3.0157728706624605,3.6135646687697163,3.033123028391167
14-24,Loyal Customer,19.62782054685426,2.629236350765419,3.4041235288912484,2.6464029731882133,2.9679674365100435,3.1775064153614725,2.823201486594107,3.1382178568268295,3.1957348907176355,3.22546677285196,3.1892752853729758,3.6632156446332185,3.2175028758516944,3.6716219803557206,3.194053623573135
14-24,disloyal Customer,21.298028604561267,2.8470557917794097,2.229351887643345,2.841257569900786,2.9649529699780954,3.06790362066744,2.8341708542713566,3.017265816260791,3.0795000644246877,3.253704419533565,3.217240046385775,3.7372761242107977,3.2421079757763174,3.733281793583301,3.0751191856719493
24-50,Loyal Customer,38.881425538579336,2.7794521978213202,3.1433891344447153,2.8160999547558556,2.986148331187137,3.284724880799081,3.4567744405387533,3.595064907945568,3.4990951171127276,3.4486826993352593,3.435666307033724,3.638760310444437,3.334110604531375,3.652977412731006,3.389656492534716
24-50,disloyal Customer,33.60586572438162,2.641766784452297,2.4669964664310955,2.6313074204946996,2.992791519434629,3.039575971731449,2.649399293286219,3.0084805653710247,3.057314487632509,3.251095406360424,3.2363250883392225,3.6885512367491167,3.2337809187279154,3.7019081272084806,3.061272084805654
> 50,Loyal Customer,58.49003614792844,2.7160379398770353,3.2034170605864,2.7630920381870423,2.9652114808292396,3.223282973398832,3.544010875274199,3.667964284610869,3.4363703772360736,3.4479871474032193,3.3716748540179813,3.5551951061266105,3.356227021348905,3.5585627336484693,3.3440541292056722
> 50,disloyal Customer,60.26720647773279,2.7182186234817816,2.500404858299595,2.6931174089068826,3.006477732793522,2.9757085020242915,2.7327935222672064,2.9336032388663966,2.9781376518218625,3.1190283400809715,3.117408906882591,3.526315789473684,3.080161943319838,3.5149797570850203,2.9781376518218625
