customerType,inflightWifi,Dept_Arr_Time_Convenience,onlineBooking_ease,gateLocation,foodandDrinks,onlineBoarding,seatComfort,inflightEntertainment,onboardService,legroomService,baggageHandling,checkinService,inflightService,Cleanliness
Loyal,2.732,3.207,2.769,2.974,3.241,3.374,3.539,3.425,3.416,3.38,3.618,3.325,3.629,3.337
Disloyal,2.713,2.39,2.703,2.989,3.045,2.713,3.006,3.059,3.236,3.221,3.694,3.223,3.7,3.061
