AgeRange,Grouping,Age,inflightWifi,Dept_Arr_Time_Convenience,onlineBooking_ease,gateLocation,foodandDrinks,onlineBoarding,seatComfort,inflightEntertainment,onboardService,legroomService,baggageHandling,checkinService,inflightService,Cleanliness
0-14,Female,10.064401981599433,2.5166312809624913,3.378273177636235,2.538570417551309,2.9281670205237083,2.975583864118896,2.547062986553432,2.948690728945506,3.002123142250531,3.237438075017693,3.2013446567586694,3.6985138004246285,3.2363765038924273,3.7094833687190376,2.9992922859164897
0-14,Male,10.055155010814708,2.5630857966834895,3.4185291997116076,2.5627253064167266,2.948089401586157,3.0046863734679166,2.571377072819034,2.9708002883922133,3.029920692141312,3.2072819033886084,3.2245854361932227,3.6625811103100214,3.2292718096611392,3.7033165104542176,3.0165825522710885
14-24,Female,20.36113906218555,2.6948078084121554,2.9036023344737374,2.7080901589857116,2.9725296840410547,3.133729120547394,2.8043872006439927,3.0888508754276516,3.150533306500302,3.22630307909036,3.195310927752063,3.687261018313544,3.2004427450191186,3.68766351378547,3.147212718856913
14-24,Male,20.24978079789566,2.743095133713284,2.950021920210434,2.744958351600175,2.9604340201665935,3.1319596668128016,2.853024989039895,3.089105655414292,3.146098202542744,3.248575186321789,3.20648838228847,3.700021920210434,3.2570144673388866,3.70659798334064,3.1439061814993425
24-50,Female,37.78261709052794,2.7449936558724555,2.9942075357201965,2.7695978374800023,2.9903183097037567,3.2265129365035583,3.3249020797705082,3.4964693551056434,3.400893694488884,3.4028520990787223,3.3782203343079384,3.6234898218127656,3.302973464996966,3.6359022452694876,3.312820654272632
24-50,Male,37.89695152989084,2.759685538148295,3.0256772806967933,2.789830891917878,2.984531417906227,3.2463095978734233,3.2689044737288615,3.461427521067813,3.4229964368531194,3.4166053956224194,3.4147955432385046,3.674339686669306,3.325886544878683,3.6900627792545673,3.3370284486171595
> 50,Female,58.57881642082815,2.7189739944316096,3.1778923049582373,2.763047212842841,2.963153841597062,3.2294295361649192,3.713346365736627,3.7690895089153487,3.428173686392986,3.4251525383567323,3.2515846217641133,3.44203542444168,3.34612878383982,3.443397902967834,3.3448847817072447
> 50,Male,58.53166676634173,2.7132348543747384,3.1772621254709645,2.7579690209915677,2.970336702350338,3.1987919382812033,3.313139166317804,3.511632079421087,3.4108007894264696,3.4467436158124514,3.4741343221099217,3.667304587046229,3.346031935889002,3.671610549608277,3.3161892231325876
