id,title,release_year,runtime,genres,production_country,imdb_score,imdb_votes
tm1048362,Army of Thieves,2021,127,"['comedy', 'crime', 'thriller', 'scifi', 'horror', 'romance', 'action']","['DE', 'US']",6.4,73790.0
tm1196705,A Perfect Pairing,2022,101,"['comedy', 'romance']","['US', 'AU']",6.1,9742.0
tm1219452,Cristela Alonzo: Middle Classy,2022,60,"['comedy', 'documentation']",[],6.8,211.0
tm851128,Bigbug,2022,111,"['comedy', 'scifi', 'fantasy']",['FR'],5.4,7483.0
tm1207097,Bill Burr Presents: Friends Who Kill,2022,73,"['comedy', 'documentation']",[],4.5,1857.0
tm1064228,Fatherhood,2021,109,"['drama', 'comedy']","['CA', 'US']",6.6,34661.0
tm1171875,Too Old for Fairy Tales,2022,106,"['comedy', 'family']",[],6.1,34.0
tm993838,Long Story Short,2021,90,"['fantasy', 'comedy', 'romance']",['AU'],6.5,4995.0
tm983723,The Sparks Brothers,2021,140,"['documentation', 'music', 'comedy', 'history']","['GB', 'US']",7.8,4663.0
tm1108321,Dave Chappelle: The Closer,2021,72,['comedy'],['US'],8.0,25873.0
tm1227918,Under the Amalfi Sun,2022,90,"['romance', 'comedy', 'drama']",['IT'],5.2,502.0
tm1046026,The Trip,2021,114,"['action', 'thriller', 'comedy', 'horror']",['NO'],6.9,20921.0
tm1094217,Chickenhare and the Hamster of Darkness,2022,91,"['animation', 'comedy', 'family', 'romance', 'fantasy']","['BE', 'FR']",6.3,1303.0
tm1141439,Home Team,2022,95,"['family', 'comedy', 'sport']",['US'],6.0,17767.0
tm1018747,Live Is Life,2022,110,"['comedy', 'drama']",['ES'],7.0,70.0
tm1021871,The Starling,2021,102,"['comedy', 'drama', 'fantasy']",['US'],6.3,12309.0
tm1020851,Back to the Outback,2021,95,"['animation', 'comedy', 'family']","['AU', 'US']",6.5,7896.0
tm992260,Yes Day,2021,86,"['comedy', 'family']",['US'],5.7,23625.0
tm1166046,Ante... Sundaraniki!,2022,173,"['comedy', 'romance', 'family']",['IN'],8.0,2538.0
tm1227853,Bhool Bhulaiyaa 2,2022,142,"['horror', 'comedy']",['IN'],5.9,27244.0
tm413169,Peter Rabbit 2: The Runaway,2021,93,"['fantasy', 'action', 'family', 'comedy', 'animation', 'crime', 'drama']","['AU', 'US']",6.2,11233.0
tm1212673,Joel Kim Booster: Psychosexual,2022,67,"['comedy', 'documentation']",[],5.5,284.0
tm1151272,Beast,2022,162,"['thriller', 'action', 'comedy', 'crime']",['IN'],5.2,30369.0
tm314863,Vivo,2021,103,"['family', 'comedy', 'animation', 'drama']",['US'],6.7,18238.0
tm841825,My Little Pony: A New Generation,2021,91,"['music', 'action', 'animation', 'family', 'fantasy', 'comedy', 'drama', 'scifi']","['IE', 'US', 'CA']",6.8,3657.0
tm459789,The Lovebirds,2021,87,"['romance', 'comedy', 'action', 'thriller', 'crime']",['US'],6.0,25697.0
tm1107225,Through My Window,2022,116,"['drama', 'romance', 'comedy']",['ES'],5.4,9082.0
tm1049265,My Wonderful Life,2021,99,"['romance', 'comedy', 'drama']",['PL'],5.8,626.0
tm1168932,Taylor Tomlinson: Look at You,2022,60,"['comedy', 'documentation']",[],7.3,2008.0
tm1166020,The Takedown,2022,119,"['action', 'comedy', 'crime', 'drama']",['FR'],5.7,5948.0
tm1093099,Love Hard,2021,104,"['romance', 'comedy']",['US'],6.3,49784.0
tm1207094,Pete Davidson Presents: The Best Friends,2022,58,"['comedy', 'documentation']",['US'],4.7,569.0
